Instance ID,Skeletal code,Co-authors associated with analyzing this sample,Skeletal element,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)","Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]","Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990�40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Confidence of archaeological and chronological contextualization for the genetic data for this individual,"Group ID (the suffix ""_lc"" indicates fewer than 15000 SNPs covered on the 1240k target set)",Included in population genetic analysis (also indicated if included in Figure 3),Locality,Excavation reference if available,Country or Region,Latitude,Longitude,Data type,Number of Libraries,Average coverage on autosomal targets,SNPs hit on autosomal targets,Genetic Sex,Family ID and position within family,Sum total of ROH segments >4cM from hapROH,Sum total of ROH segments >20cM from hapROH,Y chromosome haplogroup (called only for males with 1240K data and only if >50000 autosomal SNPs hit), mtDNA coverage ,mtDNA haplogroup only called if >2x coverage,mtDNA match to consensus if >2x coverage,Damage rate in first nucleotide on sequences overlapping 1240k targets for samples processed at Harvard; C->T_CpG_5 for samples processed in China,Xcontam ANGSD SNPs (only if male),Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and  SNPs > 200),ContamLD contamination 95% CI (Ccorrecting bias with damage-restricted sequences and only reported for samples covered by at least 100000 autosomal SNPs),Library type,LibraryID(s), Percent human sequences by library (computed on shotgun data) ,Qualitative assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12971,"AT_980, 700","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,2849,40,"981-832 calBCE (2765�20 BP, UCIAMS-226547, PSUG-5462)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Slab Grave culture) match up; and the genetic patterns place this individual into a cluster with others from a Slab Grave archaeological context.,Mongolia_EIA_SlabGrave_1B,Yes and plotted in Figure 3,"Dornod aimag, Gurvanzagal sum, Khadan khuv ????? ??? Tomb 1","Excavations: Ulziibayar S., Ochir A., 2016",Mongolia,49.15,114.87,1240K capture,1,4.451718,847791,F,n/a (no relatives detected),18,0,n/a (female), 460 ,D4j7,"[0.979,0.993]",0.098,n/a (female),n/a (female),"[0,0.019]",ds.UDG.half,S12971.Y1.E1.L1, 0.5810 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I14194,"AT_920, 999","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,2834,35,"971-830 calBCE (2755�20 BP, UCIAMS-226562, PSUG-5476)","Confident - The genetic data and direct 14C date are from the same exported petrous bone so we treat the date as confident. However,  the individual is too late for the Ulaanzukh LBA cultural context so the burial is probably intrusive and we do not treat the cultural context as known.",Mongolia_EIA_8,Yes and plotted in Figure 3,"S�khbaatar aimag, Tuvshinshiree sum, Ulaanzukh ????? ????, Tomb 32","Excavations: Tumen D., Khananbaatar D. 2012 Publications: Tumen D. et al. 2014",Mongolia,46.77,111.6,1240K capture,1,3.863425,807773,F,n/a (no relatives detected),4,0,n/a (female), 397 ,C4a1,"[0.988,0.998]",0.105,n/a (female),n/a (female),"[0,0.012]",ds.UDG.half,S14194.Y1.E1.L1, 0.6363 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13963,"AT_565, 996","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,2829,33,"967-827 calBCE (2750�20 BP, PSUAMS-6943)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Slab Grave culture) match up; and the genetic patterns place this individual into a cluster with others from a Slab Grave archaeological context.,Mongolia_EIA_SlabGrave_1B,Yes and plotted in Figure 3,"Khentii, Delgerkhaan sum, Rashaant tolgoi ??????? ??????, tomb 6","Excavations: Navaan D. 2003 Publication: ?????? ?., 2005. P.20",Mongolia,47.19,109.19,1240K capture,1,2.57423,753749,F,n/a (no relatives detected),8,0,n/a (female), 303 , C5b1b ,"[0.992,1.000]",0.126,n/a (female),n/a (female),"[0,0.005]",ds.UDG.half,S13963.Y1.E2.L1, 0.5431 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6349,"LAB1, ULUN_LAB1","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg ; Mijiddorj, Enkhbayar ",petrous (CBD),Direct: IntCal20,2781,28,"898-800 calBCE (2675�20 BP, PSUAMS-7398)",Confident - The genetic data are from cranial base drilling in 2016 and the 14C date is from a cranial fragment sampled in 2019.The genetic patterns place this individual into a cluster with other individuals from a Slab Grave archaeological context. Since this individual's archaeological context is also Slab Grave we view this date assignment as reliable.,Mongolia_EIA_SlabGrave_1B,Yes and plotted in Figure 3,"S�khbaatar aimag, Dariganga sum, Baaran-Khavtsal ?????? ??????",..,Mongolia,45.304167,113.848611,1240K capture,1,2.774856,796548,M,n/a (no relatives detected),4,0,Q1a1a-M265, 221 ,D4m2,"[0.968,0.980]",0.086,4399,"[0.004,0.009]","[0,0.009]",ds.UDG.half,S6349.E1.L1, 0.4435 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6365,"AT_712, MONU_712","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen; Erdenebaatar, Diimaajav",petrous (CBD),Direct: IntCal20,2744,8,"809-779 calBCE (2610�20 BP, PSUAMS-7282)","Confident - The genetic data are from cranial base drilling in 2016 and the 14C date is from a post-cranial element from a different box sampled in 2019. However, the direct 14C date and archaeological context (Slab Grave culture) match up, and the genetic patterns place this individual into a cluster with others from a Slab Grave archaeological context, and we thus view this date assignment as reliable.",Mongolia_EIA_SlabGrave_1A,Yes and plotted in Figure 3,"Khuvsgul aimag, Burentogtoh sum, Uulaan uushig (Uushigiin uvur) ?????? ????? (???????? ????) Slab Burial 1","Excavations: Erdenebaatar D., Takahama Shu 2005 Publication: Takahama et al. 2006, P. 68-69",Mongolia,49.656,99.927,1240K capture,2,2.419309,779917,M,n/a (no relatives detected),20,0,N1a1a1a1a-M1999, .. ,D4o1,..,..,..,"[0.000,0.013]","[0,0.001]","ds.UDG.half,ds.UDG.half","S6365.E1.L1,S6365.E1.L2"," 0.64720,0.71000 ",PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6359,"AT_617, MONU_617","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous (CBD),"Context: Based on dates from the same cultural context (I12960, I12969, I12971, I13178, I13963, I6349, I6352, I6353, I6365, I6368, I6369, I7032, I13958, I6368, I17652)",2700,202,1100-400 BCE,Confident - The genetic patterns place this individual into a cluster with others directly dated individuals from a Slab Grave archaeological context. Since this individual's archaeological context is also Slab Grave we view this date assignment as reliable.,Mongolia_EIA_SlabGrave_1C,Yes and plotted in Figure 3,"Khuvsgul aimag, Alag-Erdene sum, Erhel nuur, Ulaan tolgoi ????? ??????",Excavations: Sandzhmyatav T. 1995,Mongolia,50.117222,100.045833,1240K capture,1,4.761473,904170,M,n/a (no relatives detected),9,0,Q1b1a3a-YP779," 1,050 ",C5c,"[0.994,0.999]",0.037,6590,"[0.002,0.006]","[0,0.012]",ds.UDG.half,S6359.E1.L1, 0.7918 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6369,"AT_984, Grave #2, MONU_984, Grave #2","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous (CBD),Direct: IntCal20,2554,99,"752-417 calBCE (2455�20 BP, PSUAMS-3114)",Confident - The genetic data and direct 14C date are from the same cranium sampled in 2016; the direct date and archaeological context (Slab Grave culture) match up.,Mongolia_EIA_SlabGrave_1D,Yes and plotted in Figure 3,"Khentii, Murun sum, Bus khairkhan ??? ??????? Tomb 2","Excavations: Ulziibayar S., Ochir A., 2016",Mongolia,47.381667,110.316944,1240K capture,2,3.703488,804754,F,n/a (no relatives detected),6,0,n/a (female), .. ,B5b,..,..,n/a (female),n/a (female),"[0,0.006]","ds.UDG.half,ds.UDG.half","S6369.E1.L1,S6369.E1.L2"," 0.73270,0.76000 ",PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13504,"MON_1, 814","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Tuvshinjargal  (Jerry), Tumurbaatar ; Bayarsaikhan, Jamsranjav ",petrous,Direct: IntCal20,2368,29,"512-389 calBCE (2360�20 BP, UCIAMS-226556, PSUG-5471)","Confident - The genetic data and direct 14C date are from the same exported petrous bone. The individual is the only representative of their genetic cluster and the archaeological context is not clear, but given that we have a date on the same element we analyzed for DNA we treat the context as confident",Mongolia_EIA_3,Yes and plotted in Figure 3,"Khovsgol aimag, Ulaan-Uul sum",..,Mongolia,50.7,99.2,1240K capture,1,2.387604,775870,M,n/a (no relatives detected),30,0,Q1b1b-Y5084, 530 ,W,"[0.993,1.000]",0.069,4665,"[0.001,0.005]","[0,0.015]",ds.UDG.half,S13504.Y1.E1.L1, 0.0581 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12956,"AT_211, 681","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,2326,37,"405-235 calBCE (2305�20 BP, UCIAMS-226544, PSUG-5459)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Sagly culture) match up; and the genetic pattern puts this individual into a group from the same archaeological context all of whom are directly dated to a consistent period.,Mongolia_EIA_Sagly_4_lc,No (low coverage),"Uvs aimag, Ulaangom sum, Chandman Uul ????????? ??? (Ulaangom  ???????? cemetery) Grave 48 burial 4","Excavations: Volkov V., Ser-Odzhav N. 1972-1974 Publication: Novgorodova et al. 1982",Mongolia,49.96,92.05,1240K capture,1,0.006353,7645,M,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (<50000 SNPs), 1.0 ,n/a (<2x),n/a (<2x),0.273,2,n/a (<200 SNPs),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S12956.Y1.E1.L1, 0.0007 ,PASS (low coverage at n=7648 SNPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I7027,"AT_121, Grave #45, Burial 2, MONU_121, Grave #45, Burial 2","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,"Direct: IntCal20; we used the PSUAMS date on the same skeletal element analyzed for ancient DNA instead of the non-overlapping measurement on an independent sample from the same individual of 356-173 calBCE (2188�15 BP, GrM-12941) published in Wilkins et al. Nature Ecology and Evolution 2020",2278,61,"398-228 calBCE (2275�20 BP, PSUAMS-4003)","Confident - The genetic data and direct 14C at PSUAMS are from the same exported petrous bone; the direct date and archaeological context (Sagly culture) match up; and the genetic pattern puts this individual into a group from the same archaeological context all of whom are directly dated to a consistent period. Use instead of the non-overlapping measurement on an independent sample from the same individual of 356-173 calBCE (2188�15 BP, GrM-12941) published in Wilkins et al. Nature Ecology and Evolution 2020.",Mongolia_EIA_Sagly_4A,Yes and plotted in Figure 3,"Uvs aimag, Ulaangom sum, Chandman Uul ????????? ??? (Ulaangom  ???????? cemetery)  Grave #45, Burial 2","Excavations: Volkov V., Ser-Odzhav N. 1972-1974 Publication: Novgorodova et al. 1982",Mongolia,49.96,92.05,1240K capture,1,2.913225,894567,M,n/a (no relatives detected),6,0,R1a1a1b2a-F3105, 349 ,T1a1,"[0.988,0.995]",0.072,4573,"[0.002,0.007]","[0,0.013]",ds.UDG.half,S7027.E1.L1, 0.8529 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13965,"AT_909, 998","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,2270,61,"396-210 calBCE (2270�20 BP, UCIAMS-226560, PSUG-5475)","Minor warning - The genetic data and direct 14C date are from the same exported petrous bone. However, this individual is the only representative of their genetic cluster and the archaeological context is not fully clear, so we do not plot the data from the associated cluster in Figure 3.",Mongolia_EIA_5,Yes,"Bayan-Ulgii aimag, Tsengel sum, Biluut 2 ?????? 2, barrow 4",Excavations: Bayarsaikhan L. 2011 Publications: Fitzhug et al. 2012,Mongolia,48.68,88.38,1240K capture,1,2.531534,747813,F,n/a (no relatives detected),0,0,n/a (female), 314 ,G2a1,"[0.979,0.993]",0.138,n/a (female),n/a (female),"[0,0.008]",ds.UDG.half,S13965.Y1.E2.L1, 0.6435 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6356,"AT_281, Grave #58, Burial 2, MONU_281, Grave #58, Burial 2","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous (CBD),"Context: Date(s) from individuals from same context; Direct date of 1386-1217 calBCE (3030�20 BP, PSUAMS-7277) on a mandible for this individual because it mismatches the archaeological chronology as well as the genetic data, potentially due to being in a comingled burial (mandibular DNA mismatched petrous bone DNA)",2250,58,400-200 BCE,"Minor warning - The genetic data are from cranial base drilling in 2016, while the 14C date of 1386-1217 calBCE (3030�20 BP, PSUAMS-7277) is from a mandible sampled in 2019 from the same box (based on our 2019 photographs this skull hadi ndeed previously been sampled by cranial base drilling). Genetically, the individual matches  the Mongolia_EIA_4_Sagly cluster, and archaeologically this individual is assigned to the Early Iron Age Sagly cultural context as well; both of these are inconsistent with the direct 14C date, and instead strongly point to a Sagly Iron Age assignment. One possible explanation for the discrepancy of the direct date with the other lines of evidence is that the mandible we dated was not from the same individual as the skull in the same box. Archaeological records indicate that this burial was destroyed by bulldozer in 1981, and separate bones of three individuals were found in the soil and collected by Tseveendorzh as described in a report published in 2016. Because this was a burial containing multiple commingled individuals, we think the most likely explanation for the discrepancies is that the mandible is not from the same individual as the petrous bone for which we collected genetic data. We therefore assign the date contextually based on other directly dated Sagly Iron Age individuals.",Mongolia_EIA_Sagly_4D,Yes and plotted in Figure 3,"Uvs aimag, Ulaangom sum, Chandman Uul ????????? ??? (Ulaangom  ???????? cemetery) , Grave #58, Burial 2",Excavations: Tseeveendorzh D. 1981 Publications: ?????????? 2016. P. 7,Mongolia,49.96,92.05,1240K capture,1,3.306664,852199,M,n/a (no relatives detected),4,0,Q1b1a3b-SK1944, 387 ,C4a1a3,"[0.992,0.998]",0.053,5404,"[0.004,0.008]","[0,0]",ds.UDG.half,S6356.E1.L1, 0.6120 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I7030,"AT_400, Grave #56, MONU_400, Grave #56","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,2244,58,"389-208 calBCE (2250�20 BP, PSUAMS-3722)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Sagly culture) match up; and the genetic pattern puts this individual into a group from the same archaeological context all of whom are directly dated to a consistent period.,Mongolia_EIA_Sagly_4B,Yes and plotted in Figure 3,"Uvs aimag, Ulaangom sum, Chandman Uul ????????? ??? (Ulaangom  ???????? cemetery)  Grave #56 ","Excavations: Volkov V., Ser-Odzhav N. 1972-1974 Publication: Novgorodova et al. 1982",Mongolia,49.96,92.05,1240K capture,1,3.982534,866391,M,n/a (no relatives detected),0,0,R1a1a1b2a-Z95, 458 ,D4b1a2a1,"[0.996,0.999]",0.088,5432,"[0.002,0.007]","[0,0.01]",ds.UDG.half,S7030.E1.L1, 0.8746 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I7024,"AT_107, Grave #36, Burial 2, MONU_107, Grave #36, Burial 2","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,2244,58,"389-208 calBCE (2250�20 BP, PSUAMS-4002)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Sagly culture) match up; and the genetic pattern puts this individual into a group from the same archaeological context all of whom are directly dated to a consistent period.,Mongolia_EIA_Sagly_4C,Yes and plotted in Figure 3,"Uvs aimag, Ulaangom sum, Chandman Uul ????????? ??? (Ulaangom  ???????? cemetery) Grave #36, Burial 2","Excavations: Volkov V., Ser-Odzhav N. 1972-1974 Publication: Novgorodova et al. 1982",Mongolia,49.96,92.05,1240K capture,1,4.333784,886220,M,n/a (no relatives detected),12,0,R1a1a1b2-Z93, 437 ,R1b1,"[0.987,0.995]",0.061,5912,"[0.002,0.006]","[0,0.014]",ds.UDG.half,S7024.E1.L1, 0.8687 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I7022,"AT_60, Grave #11, N-7, MONU_60, Grave #11, N-7","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,2244,58,"389-208 calBCE (2250�20 BP, PSUAMS-4000)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Sagly culture) match up; and the genetic pattern puts this individual into a group from the same archaeological context all of whom are directly dated to a consistent period.,Mongolia_EIA_Sagly_4D,Yes and plotted in Figure 3,"Uvs aimag, Ulaangom sum, Chandman Uul ????????? ??? (Ulaangom  ???????? cemetery)  Grave #11, Burial 7","Excavations: Volkov V., Ser-Odzhav N. 1972-1974 Publication: Novgorodova et al. 1982",Mongolia,49.96,92.05,1240K capture,1,4.740964,904368,M,n/a (no relatives detected),0,0,Q1a2a-F4793, 547 ,C4a1a+195,"[0.998,1.000]",0.037,6131,"[0.002,0.005]","[0,0.022]",ds.UDG.half,S7022.E1.L1, 0.7720 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I7023,"AT_77, Grave #31, Burial 6, MONU_77, Grave #31, Burial 6","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,2226,50,"373-199 calBCE (2215�20 BP, PSUAMS-4001)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Sagly culture) match up; and the genetic pattern puts this individual into a group from the same archaeological context all of whom are directly dated to a consistent period.,Mongolia_EIA_Sagly_4A,Yes and plotted in Figure 3,"Uvs aimag, Ulaangom sum, Chandman Uul ????????? ??? (Ulaangom  ???????? cemetery) Grave #31, Burial 6 ","Excavations: Volkov V., Ser-Odzhav N. 1972-1974 Publication: Novgorodova et al. 1982",Mongolia,49.96,92.05,1240K capture,1,2.160383,797467,F,n/a (no relatives detected),32,27,n/a (female), 272 ,H,"[0.990,0.998]",0.137,n/a (female),n/a (female),"[0,0.006]",ds.UDG.half,S7023.E1.L1, 0.4016 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6233,"AT_138, Grave #49, Burial 1, MONU_138, Grave #49, Burial 1","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous (CBD),Direct: IntCal20,2225,50,"370-197 calBCE (2210�20 BP, PSUAMS-7272)","Confident - The genetic data are from cranial base drilling in 2016 and the 14C date is from a post-cranial element from a different box sampled in 2019. However, the direct 14C date and archaeological context (Sagly culture) match up, and the genetic patterns put this individual into a group from the same archaeological context directly dated to a consistent period, and so we view this date as reliable.",Mongolia_EIA_Sagly_4F,Yes and plotted in Figure 3,"Uvs aimag, Ulaangom sum, Chandman Uul ????????? ??? (Ulaangom  ???????? cemetery) Grave #49, Burial 1","Excavations: Volkov V., Ser-Odzhav N. 1972-1974 Publication: Novgorodova et al. 1982",Mongolia,49.96,92.05,1240K capture,1,4.592,835975,M,n/a (no relatives detected),9,0,R1a1a1b2a2-Z2121, 614 ,F1b1+@152,"[0.988,0.995]",0.062,1022,"[0.000,0.008]","[0,0]",ds.UDG.half,S6233.E1.L1, 0.7135 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I7026,"AT_117, Grave #41, Burial 6, MONU_117, Grave #41, Burial 6","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,2222,64,"355-170 calBCE (2180�15 BP, PSUAMS-4503)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Sagly culture) match up; and the genetic pattern puts this individual into a group from the same archaeological context all of whom are directly dated to a consistent period.,Mongolia_EIA_Sagly_4_o_lc,No (low coverage),"Uvs aimag, Ulaangom sum, Chandman Uul ????????? ??? (Ulaangom  ???????? cemetery)Grave #41, Burial 6","Excavations: Volkov V., Ser-Odzhav N. 1972-1974 Publication: Novgorodova et al. 1982",Mongolia,49.96,92.05,1240K capture,1,0.012477,14942,M,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (<50000 SNPs), 8.9 ,C4a1a+195,"[0.993,1.000]",0.066,1,n/a (<200 SNPs),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S7026.E1.L1, 0.0056 ,PASS (low coverage at n=14942 SNPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6263,"MYM9, MONM_MYM9","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg; Tumen; Tumurbaatar, Tuvshinjargal (Jerry); Bayarsaikhan, Jamsranjav ",petrous (CBD),Direct: IntCal20,2221,61,"358-170 calBCE (2185�20 BP, PSUAMS-7273)","Confident - The genetic data are from cranial base drilling in 2016, while the 14C date is from a post-cranial element sampled in 2019 but that was held within the same box as the cranium. The archaeological context of Pazyryk Iron Age matches the the 14C date and previously reported data from this culture, so we view this as a reliable cultural assignment.",Mongolia_EIA_Pazyryk_6,Yes and plotted in Figure 3,"Bayan Ulgii aimag, Tsengel sum, Tsagaan-Uul ?????? ???",..,Mongolia,48.68,88.38,1240K capture,1,4.028,818381,F,n/a (no relatives detected),5,0,n/a (female), 672 ,H5a1,"[0.972,0.984]",0.055,n/a (female),n/a (female),"[0.002,0.05]",ds.UDG.half,S6263.E1.L1, 0.6365 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6226,"AT_105, Grave #35, Burial 2, MONU_105, Grave #35, Burial 2","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous (CBD),Direct: IntCal20,2220,60,"361-170 calBCE (2190�25 BP, PSUAMS-7270)","Confident - The genetic data are from cranial base drilling in 2016 and the 14C date is from a post-cranial element from a different box sampled in 2019. However, the direct 14C date and archaeological context (Sagly culture) match up, and the genetic patterns put this individual into a group from the same archaeological context of whom are directly dated to a consistent period, and so we view this date as reliable.",Mongolia_EIA_Sagly_4A,Yes and plotted in Figure 3,"Uvs aimag, Ulaangom sum, Chandman Uul ????????? ??? (Ulaangom  ???????? cemetery)  Grave #35, Burial 2","Excavations: Volkov V., Ser-Odzhav N. 1972-1974 Publication: Novgorodova et al. 1982",Mongolia,49.96,92.05,1240K capture,1,3.397,800272,F,n/a (no relatives detected),5,0,n/a (female), 431 ,H91,"[0.987,0.996]",0.06,n/a (female),n/a (female),"[0,0.018]",ds.UDG.half,S6226.E1.L1, 0.4163 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
